Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento Nva Amunátegui Id: 142816,$470.000,2 dormitorios,2 baños,54 m² útiles,"Nva Amunátegui, Centro Histórico D..."
Departamento Monjitas Id: 140842,$700.000,3 dormitorios,2 baños,72 m² útiles,"Monjitas, Centro Histórico De Sant..."
Departamento Tucapel Jiménez Id: 18733,$300.000,1 dormitorio,1 baño,32 m² útiles,"Tucapel Jiménez, Centro Histórico ..."
Departamento Bandera Id: 138862,$290.000,1 dormitorio,1 baño,25 m² útiles,"Bandera, Centro Histórico De Santi..."
Departamento Compañía De Jesús Id: 140497,$350.000,1 dormitorio,1 baño,35 m² útiles,"Compañía De Jesús, Centro Históric..."
Departamento Amunátegui Id: 22210,$290.000,1 dormitorio,1 baño,30 m² útiles,"Amunátegui, Centro Histórico De Sa..."
Departamento En Arriendo De 1 Dorm. Code 314 En Santiago,$300.000,1 dormitorio,1 baño,36 m² útiles,"Morandé 707, Centro Histórico De S..."
Departamento Avenida Mapocho Id: 140525,$310.000,1 dormitorio,1 baño,35 m² útiles,"Avenida Mapocho, Centro Histórico ..."
Departamento Santo Domingo Id: 140910,$450.000,1 dormitorio,1 baño,60 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento General Mackenna Id: 103383,$283.500,1 dormitorio,1 baño,35 m² útiles,"General Mackenna, Centro Histórico..."
Departamento Bandera Id: 141746,$320.000,1 dormitorio,1 baño,36 m² útiles,"Bandera, Centro Histórico De Santi..."
Departamento Mario Kreutzberger Id: 89470,$250.000,1 dormitorio,1 baño,26 m² útiles,"Mario Kreutzberger, Centro Históri..."
Departamento Mario Kreutzberger Id: 138928,UF7,1 dormitorio,1 baño,35 m² útiles,"Mario Kreutzberger, Centro Históri..."
Departamento Moneda Id: 141059,$270.000,1 dormitorio,1 baño,30 m² útiles,"Moneda, Centro Histórico De Santia..."
Departamento Santo Domingo Id: 139948,$390.000,1 dormitorio,2 baños,46 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento Santo Domingo Id: 126215,$430.000,2 dormitorios,1 baño,42 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento Máximo Humbser Id: 92324,UF11,1 dormitorio,1 baño,50 m² útiles,"Máximo Humbser, Centro Histórico D..."
Departamento San Martín Id: 139989,$310.000,2 dormitorios,1 baño,44 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento En Arriendo De 2 Dorm. En Santiago Cod 1308,$385.000,2 dormitorios,2 baños,48 m² útiles,"Agustinas 1612, Centro Histórico D..."
Departamento Morandé Id: 142027,$450.000,2 dormitorios,2 baños,50 m² útiles,"Morandé, Centro Histórico De Santi..."
