Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento Cardenal Samoré Id: 63591,$365.000,3 dormitorios,1 baño,46 m² útiles,"Cardenal Samoré, Viña Del Mar"
Edificio Av. Inglaterra Piso 8,$490.000,3 dormitorios,3 baños,68 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Inglaterra (1 Est.) Piso 8,$420.000,2 dormitorios,2 baños,68 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Francisco Meneses (1 Est. 1 Bod.) Vista Norte Piso,$430.000,1 dormitorio,1 baño,33 m² útiles,"Francisco Meneses 1580, Estadio Na..."
Edificio Nicasio Retamales (1 Est. 1 Bod.) Vista Oriente Pi,$350.000,2 dormitorios,2 baños,48 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio P Mackenna (1 Est.) Vista Norte,$630.000,3 dormitorios,2 baños,74 m² útiles,"P Mackenna 798, Forestal, Viña Del..."
Edificio Av. Manuel Rodríguez (1 Est.) Vista Norte Piso 24,$430.000,2 dormitorios,2 baños,51 m² útiles,"Av. Manuel Rodríguez 881, Centro H..."
Edificio Av. Inglaterra Vista Oriente Piso 8,$390.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Chiloé Vista Norte Piso 3,$295.000,1 dormitorio,1 baño,32 m² útiles,"Chiloé 1951, Franklin - Biobío, Sa..."
Edificio Av. Almte. Blanco Encalada Vista Surponiente Piso,$280.000,1 dormitorio,1 baño,23 m² útiles,"Av. Almte. Blanco Encalada 2527, B..."
Edificio Alcalde Pedro Alarcón Vista Sur Piso 3,$340.000,1 dormitorio,1 baño,30 m² útiles,"Alcalde Pedro Alarcón 777, El Llan..."
Edificio Tucapel Jimenez (1 Bod.) Vista Norte Piso 13,$310.000,1 dormitorio,1 baño,32 m² útiles,"Tucapel Jimenez 136, Centro Histór..."
Edificio María Rozas Velásquez Vista Norte Piso 8,$275.000,1 dormitorio,1 baño,27 m² útiles,"María Rozas Velásquez 55, Metro La..."
Edificio Av. Inglaterra Piso 5,$390.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Amalia Errazuriz Piso 21,$265.000,1 dormitorio,1 baño,32 m² totales,"Amalia Errazuriz 956, Hospitales, ..."
Edificio Embajador Quintana Vista Sur Piso 10,$235.000,1 dormitorio,1 baño,30 m² útiles,"Embajador Quintana 4334, San Alber..."
Edificio Amalia Errazuriz Vista Norte Piso 5,$305.000,2 dormitorios,1 baño,43 m² útiles,"Amalia Errazuriz 956, Hospitales, ..."
Edificio Av. María Rozas Velásquez (1 Est. 1 Bod.) Vista,$430.000,2 dormitorios,1 baño,40 m² útiles,"Av. María Rozas Velásquez 41, Metr..."
Edificio Belisario Prats Vista Sur Piso 4,$319.900,1 dormitorio,1 baño,33 m² útiles,"Belisario Prats 1850, Plaza Chacab..."
Edificio Av. Perú Vista Poniente Piso 6,$349.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Santa Elena Vista Oriente Piso 17,$310.000,1 dormitorio,1 baño,28 m² útiles,"Santa Elena 1760, Bogotá - Sierra ..."
