Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
"Metro Mirador, 1dorm, 1bañ, 1bod, Pudeto/ Barcelona",$300.000,1 dormitorio,1 baño,35 m² útiles,"Pudeto Con Barcelona, Plaza Vespuc..."
Departamento En Arriendo De 2 Dorm. En La Florida,$400.000,2 dormitorios,2 baños,57 m² útiles,"Punta Arenas 6600, Plaza Vespucio,..."
Departamento En Arriendo De 1 Dorm. En La Florida,$320.000,1 dormitorio,1 baño,No disponible,"Vicuña Mackenna Poniente 7189, Pla..."
Departamento En Arriendo De 2 Dorm. En La Florida S/estac.,$400.000,2 dormitorios,1 baño,No disponible,Vicente Valdes A Pasos De Avda Vic...
Departamento En Arriendo De 2d 2b 1e. Mall Plaza Vespucio,$450.000,2 dormitorios,2 baños,50 m² útiles,"Cercano A Mall Plaza Vespucio, Pla..."
Departamento En La Florida,$450.000,2 dormitorios,2 baños,50 m² útiles,"Cercano A Mall Plaza Vespucio, Pla..."
Departamento En Arriendo De 1 Dorm. En La Florida,UF11,1 dormitorio,1 baño,42 m² útiles,"Las Acacias, Vicente Valdés, La Fl..."
Arriendo Departamento En La Florida,$660.000,3 dormitorios,2 baños,70 m² útiles,"Av. Vicuña Mackenna, La Florida, R..."
"Depto. 2 D 1 B, Con Estacionamiento Y Bodega",$415.000,2 dormitorios,1 baño,43 m² útiles,"Frente Al Mim / Punta Arenas, Plaz..."
Arriendo Depto Nuevo Con Linda Vista,$440.000,2 dormitorios,2 baños,51 m² útiles,"Nueva Cuatro, 6277, Plaza Vespucio..."
"Renovado! 2d 2b, Metro Mirador, Plaza Vespucio",$450.000,2 dormitorios,2 baños,46 m² útiles,"Vicuña Mackenna Poniente, 6600 - 6..."
Departamento 1d&#43;1b Av.vicuña Mackenna Oriente #6617 Flor,$410.000,1 dormitorio,1 baño,33 m² útiles,"Barcelona, Plaza Vespucio, La Flor..."
"Precioso Dpto. Nuevo 2d/1b, Metro Bellavista",$420.000,2 dormitorios,1 baño,41 m² útiles,"Metro Bellavista / Florida Center,..."
"Precioso Dpto. Nuevo 1d/1b, Metro Bellavista",$320.000,1 dormitorio,1 baño,32 m² útiles,"Metro Bellavista / Florida Center,..."
Departamento 1d&#43;1b Av. Vicuña Mackenna Oriente #6617 Flo,$300.000,1 dormitorio,1 baño,32 m² útiles,"Barcelona, Plaza Vespucio, La Flor..."
Departamento En Arriendo De 1 Dorm. En La Florida,$430.000,1 dormitorio,1 baño,35 m² útiles,"Barcelona, Plaza Vespucio, La Flor..."
Departamento En Arriendo En La Florida,$420.000,2 dormitorios,2 baños,52 m² útiles,"Frente Al Mim / Punta Arenas, Plaz..."
Departamento 1d&#43;1b Avenida Vicuña Mackenna Oriente 6617,$175.000,1 dormitorio,1 baño,32 m² útiles,"Barcelona, Plaza Vespucio, La Flor..."
Departamento De 1d&#43;1b Av. Vicuña Mackenna Oriente 6617,$175.000,1 dormitorio,1 baño,33 m² útiles,"Barcelona, Plaza Vespucio, La Flor..."
"Departamento 2 D 2 B, Con Estacionamiento Y Bodega",$500.000,2 dormitorios,2 baños,52 m² útiles,"Frente Al Mim / Metro Mirador, Pla..."
"Departamento Arriendo 2 D - 1 B La Florida, Estac Y Bodega",$400.000,2 dormitorios,1 baño,41 m² útiles,"Frente Al Mim / Metro L5, Plaza Ve..."
Departamento En Arriendo De 2 Dorm. En La Florida,$570.000,2 dormitorios,2 baños,60 m² útiles,"Metro Vicente Valdes, Vicente Vald..."
"La Florida, 3d, 2b (53164)",$430.000,3 dormitorios,2 baños,60 m² útiles,"3d, 2b La Florida, J.m.carrera, Sa..."
"Departamento Arriendo De 2 Dorm. En La Florida, Est Y Bodega",$420.000,2 dormitorios,2 baños,49 m² útiles,"Frente Al Mim / Punta Arenas, Plaz..."
"Gran Oportunidad Dpto La Florida, Cerca Del Metro",$300.000,1 dormitorio,1 baño,29 m² útiles,"Barcelona 1 - 300, 160, Plaza Vesp..."
"Dpto. 2d2b Nuevo Piso 16, La Concepción 7663, La Florida.",$570.000,2 dormitorios,2 baños,45 m² útiles,"Metro Vicente Valdes, Vicente Vald..."
"Dpto. 2d2b Nuevo Piso 13, La Concepción 7663, La Florida.",$570.000,2 dormitorios,2 baños,41 m² útiles,"Metro Vicente Valdes, Vicente Vald..."
"Arriendo En La Florida, 2 D 1 B Con Estacionamiento Y Bodega",$400.000,2 dormitorios,1 baño,41 m² útiles,"Frente Al Mim / Punta Arenas, Plaz..."
"Departamento En Arriendo En La Florida, 1 D 1 B, Piscina",$340.000,1 dormitorio,1 baño,33 m² útiles,"Frente Al Mim / Punta Arenas, Plaz..."
Departamento En Arriendo De 1 Dorm. En La Florida,$170.000,1 dormitorio,1 baño,30 m² útiles,"Metro Vicente Valdes, Vicente Vald..."
Departamento En Arriendo De 3 Dorm. En La Florida,$600.000,3 dormitorios,2 baños,7.210 m² útiles,"Avenida Vicuña Mackenna 9060, Metr..."
Departamento En Arriendo De 1 Dorm. En La Florida,$190.000,1 dormitorio,1 baño,32 m² útiles,"Avenida Vicuña Mackenna, Vicente V..."
Departamento 1d&#43;1b&#43;b Rodriguez De Velasco #10 La Flo,$190.000,1 dormitorio,1 baño,34 m² útiles,"Avenida Vicuña Mackenna, Vicente V..."
Departamento En Arriendo De 2 Dorm. En La Florida,$550.000,2 dormitorios,2 baños,6.034 m² útiles,"Av. Vicuña Mackenna Nº9060, Metro ..."
Metro Vicente Valdes / Americo Vespucio (46709),$400.000,2 dormitorios,2 baños,55 m² útiles,"Lia Aguirre # 155 / 2d 1 B, Plaza ..."
2 Dorm. &#43; 2 Baños Con Estacionamiento Y Bodega,$550.000,2 dormitorios,2 baños,60 m² útiles,Walker Martínez / Av. La Florida /...
Departamento Nuevo En Arriendo De 2 Dorm. En La Florida,$520.000,2 dormitorios,2 baños,66 m² útiles,"Av. Vicuña Mackenna Nº9060, A Paso..."
Rodriguez Velasco # 10 / Vicuña Mackenna (57604),$368.000,2 dormitorios,1 baño,50 m² útiles,Rodriguez Velasco # 10 // Vicent V...
"Dpto 2d2b Nuevo Piso 18, Lía Aguirre 155, La Florida.",$380.000,2 dormitorios,2 baños,49 m² útiles,"Metro Bellavista De La Florida, Pl..."
Se Arrienda Dep 2d2b1e1bod La Florida (55832),$510.000,2 dormitorios,2 baños,49 m² útiles,Se Arrienda Dep 2d2b1e1bod La Flor...
Departamento En Arriendo De 2 Dorm. En La Florida,$420.000,2 dormitorios,2 baños,55 m² útiles,Metro Vicente Valdes / Corazon De ...
"Cómodo Y Estratégico Dpto. 1d/1b, Mall Plaza Vespucio",$280.000,1 dormitorio,1 baño,32 m² útiles,Mall Plaza Vespucio / Metro Bellav...
Departamento En Arriendo En La Florida,$330.000,1 dormitorio,1 baño,34 m² útiles,Metro Vicente Valdes / Las Acacias...
Departamento En Arriendo En La Florida,$315.000,1 dormitorio,1 baño,34 m² útiles,Metro Vicente Valdes / Las Acacias...
Departamento En Arriendo En La Florida,$520.000,2 dormitorios,1 baño,56 m² útiles,"Mall Mirador, Metro Mirador, La Fl..."
Depto.en Arriendo De 1 Dorm. En Metro Mirador La Florida,$375.000,1 dormitorio,1 baño,33 m² útiles,Av. Vicuña Mackenna Oriente/mall F...
Depto 4d+3b+estac Y Bod Colombia- W. Martinez,$580.000,4 dormitorios,3 baños,100 m² útiles,"Colombia 7200 - 7500, La Florida"
"2d+2b Punta Arenas 6600/ Atahualpa, Metro Mirador.",$370.000,2 dormitorios,2 baños,60 m² útiles,"Av. Punta Arenas 6600, Plaza Vespu..."
Departamento En Arriendo De 2d-2b En La Florida,$550.000,2 dormitorios,2 baños,55 m² útiles,"Mall Plaza Vespucio, Plaza Vespuci..."
