Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Nuevo-francisco Meneses/guillermo Mann-metro Ñuble(c/ Estac),$485.000,1 dormitorio,1 baño,36 m² útiles,"Francisco Meneses 1580, Ñuñoa, Est..."
Cumbrespro Arrienda Luminoso Dpto. 2d/2b 1e/1b,$700.000,2 dormitorios,2 baños,62 m² útiles,"Los Tres Antonios 300 - 600, Metro..."
Dublé Almeyda - Mall Plaza Egaña,$449.000,1 dormitorio,1 baño,35 m² útiles,"Dublé Almeyda 5400 - 5700, Diagona..."
Arriendo Excelente Dpto. José Domingo Cañas Dúplex.,UF24,2 dormitorios,2 baños,60 m² útiles,"José Domingo Cañas 2045, Ñuñoa, Me..."
Excelente Departamento Con Estacionamiento Y Bodega,UF13,1 dormitorio,1 baño,37 m² útiles,"Av. Irarrázaval 200, Metro Irarráz..."
Metro Ñuñoa - 3 Dormitorios,$1.350.000,3 dormitorios,3 baños,124 m² útiles,"Av. Simón Bolívar 2400 - 2700, Met..."
¡estrena Tu Nuevo Hogar En Ñuñoa! Dpto Mariposa,$530.000,2 dormitorios,2 baños,50 m² útiles,"Zañartu 1200 - 1500, Estadio Nacio..."
Departamento En Arriendo En Ñuñoa,$750.000,3 dormitorios,2 baños,70 m² totales,"Avenida Grecia/portal Ñuñoa, Juan ..."
Departamento En Arriendo De 1 Dorm. En Ñuñoa,$450.000,1 dormitorio,1 baño,38 m² útiles,"Los Alerces/ Av. Macul, Juan Gómez..."
"Depto De Gran Categoría En Barrio 100% Residencial, Ñuñoa",UF16,1 dormitorio,1 baño,40 m² útiles,"Prof. Rodolfo Lenz 300 - 600, Plaz..."
Departamento En Arriendo De 2 Dorm. 2b En Ñuñoa,$680.000,2 dormitorios,55 m² útiles,No disponible,"Chile España - Simon Bolivar, Plaz..."
Exclusivo Y Único Departamento Amoblado En Barrio Italia,$1.050.000,2 dormitorios,2 baños,49 m² útiles,"Av. Italia 1800 - 2100, Metro Irar..."
Hermoso Departamento Casi Nuevo!!!!,$890.000,3 dormitorios,2 baños,68 m² útiles,"Av. Rodrigo De Araya 3000 - 3300, ..."
Departamento En Arriendo En Ñuñoa,$580.000,1 dormitorio,1 baño,39 m² útiles,Nuncio Laghi/ Francisco De Villagr...
Zañartu / Til Til,$360.000,1 dormitorio,1 baño,36 m² útiles,"Zañartu 1200 - 1500, Estadio Nacio..."
Amplio Departamento Frente Al Metro Ñuñoa,$660.000,2 dormitorios,2 baños,50 m² útiles,"Dublé Almeyda 2100 - 2400, Metro Ñ..."
"Dpto. 2do Piso 2 Dorm 1 Baño, Box Y Bodega San Eugenio Ñuñoa",$480.000,2 dormitorios,1 baño,48 m² útiles,"San Eugenio 1200 - 1500, Parque Sa..."
Depto Seminuevo En Arriendo,$415.000,1 dormitorio,1 baño,30 m² útiles,"Dr. Johow 956, Ñuñoa, Región Metro..."
Departamento En Arriendo (ñuñoa Ve0031),$420.000,1 dormitorio,1 baño,45 m² útiles,"Av. Vicuña Mackenna 1796, Parque S..."
"Depto 1d1b - Zañartu 1100, Ñuñoa Metro Rodrigo De Araya",$340.000,1 dormitorio,1 baño,35 m² útiles,"Zañartu 1100, Estadio Nacional, Ñu..."
Hermoso Y Amplio Departamento A Pasos De Barrio Italia,$700.000,2 dormitorios,2 baños,80 m² útiles,"Luis Beltrán 1800 - 2100, Metro Mo..."
Depto 3d+2b - Logia - 2 Estac -   Suecia/sucre,$800.000,3 dormitorios,2 baños,85 m² útiles,"Av. Sucre 2830, Plaza Ñuñoa, Ñuñoa"
"Mariposa 2d+2b+est, Vista La Cordillera! Metro Ppe De Gales",$720.000,2 dormitorios,2 baños,70 m² útiles,"Av. Ossa 1400, Ñuñoa, Metro Simón ..."
